Reference, Value, Footprint, Datasheet
"C8","0.1uF","",""
"VT1","BF862","",""
"C4","560pF","",""
"C5","560pF","",""
"R4","100k","",""
"C3","47pF","",""
"C1","0.1uF","",""
"VD2","BB135","",""
"R1","100k","",""
"VD1","BB135","",""
"J1","Conn_01x02","",""
"J2","Conn_01x02","",""
"J4","Conn_01x02","",""
"D1","1N4148","",""
"D2","1N4148","",""
"R5","470","",""
"C7","0.1uF","",""
"L1","27 uH","",""
"R8","110k","",""
"DA1","AD8031","",""
"R7","4.7k","",""
"R6","47k","",""
"C2","0.1uF","",""
"R3","47k","",""
"R2","47k","",""
"U1","LM358","",""
"C6","0.1uF","",""
"J3","Conn_01x02","",""
